aan	to
aand	evening
aangenome naam	alias
aanneem	adopt
aanstaande	betrothed
aarde	earth
aardrykskundige	gazetteer
woordeboek	dictionary
advokaat	advocate, lawyer
afskrif	duplicate
ag, agt	eight
agste	eighth
agt-en-twintig	twenty-eight
agt-en-twintigste	twenty-eighth
agterkleindogter	great-granddaughter
agterkleinkind	great-grandchild
agterkleinseun	great-grandson
agtien	eighteen
agtiende	eighteenth
albei	both
alias	alias, known as, otherwise
alleen	alone, single
alles	all, everything
altyd	always
ambagsman	artisan, tradesman, workman
amptenaar	official
ander	different
anders genoem	alias
Apostolies	Apostolic
April	April
arbeider	laborer
argief	archive
asma	asthma
Augutus	August
